Datum,Wohnungsart,Zimmeranzahl,Wohnungsgrösse_m2,Verkaufspreis,Wohnungs_Adresse,Kanton,Latitude/Longitude,clean
2022-12-21,serp_responsive#badge_new_building_lite,3.5,0,434900,"Chemin du Milieu 81, 1920 Martigny, VS",VS,"(46.1125776, 7.0639931)",clean
2022-12-21,unbekannt,3.5,107,548000,"1913 Saillon, VS",VS,"(46.1702413406308, 7.186334443692022)",clean
2022-12-21,unbekannt,4.5,143,795000,"1913 Saillon, VS",VS,"(46.1702413406308, 7.186334443692022)",clean
2022-12-21,unbekannt,2.5,70,395000,"1913 Saillon, VS",VS,"(46.1702413406308, 7.186334443692022)",clean
2022-12-21,unbekannt,4.5,124,695000,"1913 Saillon, VS",VS,"(46.1702413406308, 7.186334443692022)",clean
2022-12-21,unbekannt,6.5,192,1360000,"Rue des Plantées 8, 2023 Gorgier, NE",NE,"(None, None)",clean
2022-12-21,unbekannt,3.5,111,795000,"Ober-Kuonimattweg 22, 6010 Kriens, LU",LU,"(47.0231838, 8.30017625)",clean
2022-12-21,unbekannt,5.5,125,825000,"Schlüsselstrasse 4, 8645 Jona, SG",SG,"(47.229413, 8.830565409726017)",clean
2022-12-21,unbekannt,2.5,100,670000,"Schützenstrasse 13, 4552 Derendingen, SO",SO,"(47.1944493, 7.5845604)",clean
2022-12-21,unbekannt,7.0,0,0,"1820 Montreux, VD",VD,"(46.4311352006689, 6.915873086287625)",clean
2022-12-21,serp_responsive#badge_new_building_lite,4.5,97,0,"Rue du Port 31, 1820 Montreux, VD",VD,"(46.442212049999995, 6.896893654157193)",clean
2022-12-21,unbekannt,4.0,98,950000,"1820 Montreux, VD",VD,"(46.4311352006689, 6.915873086287625)",clean
2022-12-21,unbekannt,3.5,125,1450000,"Via Vitg dadens 10B, 7152 Sagogn, GR",GR,"(46.7896524, 9.2525567)",clean
2022-12-21,unbekannt,4.5,125,0,"Gibelbach 5, 5647 Oberrüti, AG",AG,"(47.1644065, 8.3934558)",clean
2022-12-21,unbekannt,2.5,70,685000,"1196 Gland, VD",VD,"(46.42023974764031, 6.27160490867347)",clean
2022-12-21,unbekannt,4.5,125,580000,"2540 Grenchen, SO",SO,"(47.19456708811881, 7.404544317821783)",clean
2022-12-21,unbekannt,3.5,77,445000,"Via Cantonale 3, 6576 Gerra (Gambarogno), TI",TI,"(46.1228244, 8.7857489)",clean
2022-12-21,unbekannt,8.0,234,2750000,"Via Bertaro Lambertenghi 2, 6900 Lugano, TI",TI,"(46.0087105, 8.9575497)",clean
2022-12-21,unbekannt,4.5,81,390000,"Brühlstrasse 125, 4500 Solothurn, SO",SO,"(47.2048942, 7.5154585)",clean
